rank,rank_change,app_name,publisher_name,biz_category_sub,value
189,-1.0,마이리틀셰프: 박막례할머니 & 유라PD와 함께!,GRAMPUS°,캐주얼게임,-3.19
190,4.0,패밀리 아일랜드 - 농장모험게임,Melsoft Games Ltd,캐주얼게임,-1.39
191,-14.0,소녀X헌터,Sincetimes Inc.,롤플레잉게임,-9.68
192,-46.0,파이널기어,BILIBILI,액션게임,-29.01
193,5.0,오목의 달인,SUD Inc.,보드게임,-0.29
194,3.0,CowCow | 카우카우 Crypto Mining,Cowcow,시뮬레이션게임,-0.79
195,-2.0,클론다이크 대탐험,VIZOR APPS LTD.,시뮬레이션게임,-2.8
196,30.0,"김캐디 : 스크린골프, 골프연습장, 골프레슨 가격, 시설, 위치 확인하고 저렴하게 예약하자",(주) 김캐디,골프,13.04
197,-35.0,U+골프 (모든 통신사 고객 이용 가능),LG유플러스(LG Uplus Corporation),골프,-21.07
198,5.0,서머너즈 워: 천공의 아레나,Com2uS,롤플레잉게임,-0.58
199,,솔리테어 크루즈 게임: 클래식 트라이픽 카드 게임,BELKA GAMES,카드게임,-3.94
200,13.0,쿵야 캐치마인드,Netmarble,퍼즐/퀴즈게임,7.38
