rank,rank_change,app_name,publisher_name,biz_category_sub,value
14,,꿈의 집 (Homescapes),Playrix,캐주얼게임,-0.85
15,,한게임 신맞고 : 대한민국 원조 고스톱,NHN PixelCube Corp.,카지노게임,-0.92
16,1.0,클래시 오브 클랜,Supercell,전략게임,-0.46
17,-1.0,애니팡4,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-2.57
18,,꿈의 정원 (Gardenscapes),Playrix,캐주얼게임,0.35
19,,프렌즈팝콘,Kakao Games Corp.,퍼즐/퀴즈게임,-1.62
20,2.0,애니팡2,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-0.32
21,-1.0,캔디크러쉬사가,King,캐주얼게임,-1.35
22,-1.0,무한의 계단,NFLY STUDIO,아케이드게임,-5.15
23,,애니팡3,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-1.27
24,1.0,프렌즈팝,Kakao Games Corp.,퍼즐/퀴즈게임,0.55
25,-1.0,좀비고등학교,AWESOMEPIECE,아케이드게임,-4.0
26,,LoL+,"Riot Games, Inc",게임커뮤니티,-1.93
27,,랜덤 다이스(Random Dice): PvP 디펜스,111%,전략게임,8.56
28,2.0,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,카지노게임,0.13
29,2.0,애니팡 맞고,PLAYLINKS Corp.,카지노게임,0.0
30,-2.0,리니지M,NCSOFT,롤플레잉게임,-3.83
1,,카트라이더 러쉬플러스,NEXON Company,운전/레이싱게임,-3.21
