,tablescraper-selected-row,name,tablescraper-selected-row 2,tablescraper-selected-row 3,num,num 2,num 3,num 4,tablescraper-selected-row 5
44,23.0,레인보우식스 시즈,FPS,1.19,"2,616","60,777",76.0,"48,540",네오위즈/스팀
46,24.0,패스 오브 엑자일,RPG,2.41,"1,578","59,523",151.0,"23,726",카카오/그라인딩 기어 게임즈
48,25.0,히어로즈 오브 더 스톰,RTS,0.49,"2,272","58,588",101.0,"35,033",블리자드
50,26.0,콜 오브 듀티: 모던 워페어,FPS,1.01,"2,787","51,806",46.0,"68,095",블리자드
52,27.0,스페셜포스,FPS,0.93,"1,644","47,209",117.0,"24,301",네오위즈
54,28.0,크레이지아케이드,아케이드,61.76,"3,226","46,859",41.0,"69,875",넥슨
56,29.0,DOTA 2,RTS,0.4,854,"46,844",109.0,"27,062",스팀
58,30.0,파이널판타지14,RPG,1.85,"1,292","45,582",155.0,"17,672",액토즈소프트
0,1.0,리그 오브 레전드,RTS,93.28,"8,849","1,940,972",102.0,"1,150,332",라이엇게임즈
2,2.0,배틀그라운드,FPS,36.49,"8,432","321,528",97.0,"199,572",카카오/스팀
4,3.0,오버워치,FPS,29.99,"8,555","264,300",90.0,"176,480",블리자드
6,4.0,서든어택,FPS,26.58,"8,545","234,198",77.0,"183,993",넥슨
8,5.0,FIFA 온라인 4,스포츠,88.14,"8,660","177,411",55.0,"193,566",넥슨
10,6.0,메이플스토리,RPG,33.53,"8,112","145,432",106.0,"82,336",넥슨
12,7.0,던전앤파이터,액션,64.29,"7,567","120,805",124.0,"58,758",넥슨
14,8.0,스타크래프트 리마스터,RTS,3.93,"7,919","81,767",84.0,"58,427",블리자드
16,9.0,로스트아크,RPG,10.71,"4,730","46,436",148.0,"18,949",스마일게이트
18,10.0,카트라이더,레이싱,98.97,"7,967","44,006",36.0,"74,845",넥슨
20,11.0,리니지2,RPG,8.28,"1,544","35,896",411.0,"5,248",엔씨소프트
22,12.0,리니지,RPG,8.03,"3,077","34,827",190.0,"11,042",엔씨소프트
24,13.0,사이퍼즈,액션,14.28,"4,188","26,818",129.0,"12,539",넥슨
