,week_num,rank,column-1 2,name,company,type
408,20,9,(+1),오버워치,블리자드 엔터테인먼트,팀 기반 슈팅
409,20,10,(-1),천하제일상 거상,(주)에이케이인터렉티브,MMORPG
410,20,11,(-),서든어택,㈜넥슨코리아,FPS
411,20,12,(-),검은사막,카카오게임즈,MMORPG
412,20,13,(-),아키에이지,㈜엑스엘게임즈,판타지 RPG
413,20,14,(+1),마인크래프트,엑스박스 게임 스튜디오,샌드박스
414,20,15,(-1),블레이드앤소울,㈜엔씨소프트,MMORPG
415,20,16,(-),사이퍼즈,㈜넥슨코리아,액션
416,20,17,(+1),테일즈런너,㈜스마일게이트메가포트,레이싱
417,20,18,(-1),아이온: 영원의 탑,㈜엔씨소프트,MMORPG
418,20,19,(-),크레이지 아케이드 비엔비,㈜넥슨코리아,아케이드
419,20,20,(+1),도타2 (오토체스),밸브 코퍼레이션,MOBA
