,Unnamed: 0,rank,change,name,service,genre
3834,34,35,(+2),리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략
3835,35,36,(-),심포니 오브 에픽,Moonton,전략
3836,36,37,(+3),모두의마블,Netmarble,보드
3837,37,38,(+1),라이즈 오브 킹덤즈,Lilith Games,전략
3838,38,39,(-5),배틀그라운드 모바일,PUBG CORPORATION,액션
3839,39,40,(-2),V4,NEXON Company,롤플레잉
3840,0,1,(-),언디셈버,LINE Games,롤플레잉
3841,1,2,(-),ROBLOX,Roblox Corporation,어드벤처
3842,2,3,(-),리니지W,NCSOFT,롤플레잉
3843,3,4,(-),오딘: 발할라 라이징,KAKAO GAMES CORP.,롤플레잉
3844,4,5,(-),원신,miHoYo Limited,어드벤처
3845,5,6,(-),쿠키런: 킹덤,Devsisters Corporation,롤플레잉
3846,6,7,(NEW),트라하 인피니티,MOAI GAMES Corporation.,롤플레잉
3847,7,8,(-1),전략적 팀 전투,"Riot Games, Inc",전략
3848,8,9,(-),리니지M,NCSOFT Corporation,롤플레잉
3849,9,10,(-2),바람의나라 연,NEXON Company,롤플레잉
3850,10,11,(-1),브롤스타즈,Supercell,액션
3851,11,12,(-),제2의 나라,Netmarble,롤플레잉
3852,12,13,(-2),리니지2M,NCSOFT Corporation,롤플레잉
3853,13,14,(-),냥코 대전쟁,PONOS Corporation,캐주얼 게임
3854,14,15,(-2),메이플스토리M,NEXON Company,롤플레잉
3855,15,16,(-),피파 모바일,NEXON Company,스포츠
3856,16,17,(-),블루 아카이브,NEXON Company,롤플레잉
3857,17,18,(-3),카트라이더 러쉬플러스,NEXON Company,자동차 경주
3858,18,19,(-),세븐나이츠2,Netmarble,롤플레잉
3859,19,20,(-),검은사막 모바일,PEARL ABYSS,롤플레잉
3860,20,21,(-),히어로즈 테일즈,37 MOBILE GAMES,롤플레잉
3861,21,22,(-),좀비고등학교,AWESOMEPIECE,아케이드
3862,22,23,(-5),솔라 리바이벌,Ujoy Games,롤플레잉
3863,23,24,(-1),삼국지 전략판,Qookka Games,전략
3864,24,25,(-),킹덤 : 전쟁의 불씨,파우게임즈,롤플레잉
3865,25,26,(+1),이스6 온라인,HaoPlay Limited,롤플레잉
3866,26,27,(+1),포켓몬고,"Niantic, Inc.",어드벤처
3867,27,28,(-2),그랑사가,NPIXEL,롤플레잉
3868,28,29,(+1),카운터사이드,NEXON Company,롤플레잉
3869,29,30,(+3),미르4,"Wemade Co., Ltd",롤플레잉
3870,30,31,(-),Football Manager 2022 Mobile,SEGA,스포츠
3871,31,32,(-3),블레이드&소울2,NCSOFT,롤플레잉
3872,32,33,(-1),삼국지 워,Archosaur Games,전략
3873,33,34,(-),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
3874,34,35,(-),리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략
3875,35,36,(+1),모두의마블,Netmarble,보드
3876,36,37,(+1),라이즈 오브 킹덤즈,Lilith Games,전략
3877,37,38,(-14),창공아레나,Sewon E&C,롤플레잉
3878,38,39,(-3),심포니 오브 에픽,Moonton,전략
3879,39,40,(-1),배틀그라운드 모바일,PUBG CORPORATION,액션
3880,0,1,(-),언디셈버,LINE Games,롤플레잉
3881,1,2,(-),ROBLOX,Roblox Corporation,어드벤처
3882,2,3,(-),리니지W,NCSOFT,롤플레잉
3883,3,4,(-),오딘: 발할라 라이징,KAKAO GAMES CORP.,롤플레잉
