,Unnamed: 0,week_num,rank,column-1 2,name,company,type
2287,2287,71,8,(-1),던전앤파이터,㈜넥슨코리아,벨트 스크롤 액션 RPG
2288,2288,71,9,(-),마인크래프트,엑스박스 게임 스튜디오,샌드박스
2289,2289,71,10,(-),천하제일상 거상,㈜에이케이인터렉티브,MMORPG
2290,2290,71,11,(-),카트라이더,㈜넥슨코리아,레이싱
2291,2291,71,12,(-),발로란트,라이엇 게임즈,FPS
2292,2292,71,13,(-),오버워치,블리자드 엔터테인먼트,팀 기반 슈팅
2293,2293,71,14,(-),아키에이지,㈜엑스엘게임즈,판타지 RPG
2294,2294,71,15,(+1),디아블로2,블리자드 엔터테인먼트,RPG
2295,2295,71,16,(+1),리니지,㈜엔씨소프트,MMORPG
2296,2296,71,17,(+1),사이퍼즈,㈜넥슨코리아,액션
2297,2297,71,18,(-3),엘리온,(주)카카오게임즈,MMORPG
2298,2298,71,19,(+2),마비노기,㈜넥슨코리아,MMORPG
2299,2299,71,20,(-1),테일즈런너,㈜스마일게이트메가포트,레이싱
2300,2300,70,1,(-),리그 오브 레전드,라이엇 게임즈,MOBA
2301,2301,70,2,(-),메이플스토리,㈜넥슨코리아,MMORPG
2302,2302,70,3,(-),피파온라인4,㈜넥슨코리아,스포츠
2303,2303,70,4,(-),로스트아크,㈜스마일게이트알피지,핵앤슬래시 MMORPG
2304,2304,70,5,(-),아이온,㈜엔씨소프트,MMORPG
2305,2305,70,6,(-),서든어택,㈜넥슨코리아,FPS
2306,2306,70,7,(-),배틀그라운드,"펍지주식회사, 카카오게임즈",서바이벌 슈팅
2307,2307,70,8,(-),던전앤파이터,㈜넥슨코리아,벨트 스크롤 액션 RPG
2308,2308,70,9,(-),마인크래프트,엑스박스 게임 스튜디오,샌드박스
2309,2309,70,10,(-),천하제일상 거상,㈜에이케이인터렉티브,MMORPG
2310,2310,70,11,(-),카트라이더,㈜넥슨코리아,레이싱
2311,2311,70,12,(-),발로란트,라이엇 게임즈,FPS
2312,2312,70,13,(+2),디아블로2,블리자드 엔터테인먼트,RPG
2313,2313,70,14,(-1),오버워치,블리자드 엔터테인먼트,팀 기반 슈팅
2314,2314,70,15,(-1),아키에이지,㈜엑스엘게임즈,판타지 RPG
2315,2315,70,16,(-),리니지,㈜엔씨소프트,MMORPG
2316,2316,70,17,(+2),마비노기,㈜넥슨코리아,MMORPG
2317,2317,70,18,(-1),사이퍼즈,㈜넥슨코리아,액션
2318,2318,70,19,(-1),엘리온,(주)카카오게임즈,MMORPG
2319,2319,70,20,(-),테일즈런너,㈜스마일게이트메가포트,레이싱
2320,2320,69,1,(-),리그 오브 레전드,라이엇 게임즈,MOBA
2321,2321,69,2,(+2),로스트아크,㈜스마일게이트알피지,핵앤슬래시 MMORPG
2322,2322,69,3,(-1),메이플스토리,㈜넥슨코리아,MMORPG
2323,2323,69,4,(-1),피파온라인4,㈜넥슨코리아,스포츠
2324,2324,69,5,(-),아이온,㈜엔씨소프트,MMORPG
2325,2325,69,6,(-),서든어택,㈜넥슨코리아,FPS
2326,2326,69,7,(-),배틀그라운드,"펍지주식회사, 카카오게임즈",서바이벌 슈팅
2327,2327,69,8,(-),던전앤파이터,㈜넥슨코리아,벨트 스크롤 액션 RPG
2328,2328,69,9,(-),마인크래프트,엑스박스 게임 스튜디오,샌드박스
2329,2329,69,10,(-),천하제일상 거상,㈜에이케이인터렉티브,MMORPG
2330,2330,69,11,(-),카트라이더,㈜넥슨코리아,레이싱
2331,2331,69,12,(-),발로란트,라이엇 게임즈,FPS
2332,2332,69,13,(+3),리니지,㈜엔씨소프트,MMORPG
2333,2333,69,14,(-),오버워치,블리자드 엔터테인먼트,팀 기반 슈팅
2334,2334,69,15,(-),아키에이지,㈜엑스엘게임즈,판타지 RPG
2335,2335,69,16,(+1),마비노기,㈜넥슨코리아,MMORPG
2336,2336,69,17,(+1),사이퍼즈,㈜넥슨코리아,액션
