,week_num,level_0,rank,change,name,service,genre
3368,17,3368,9,(-),라이즈 오브 킹덤즈,Lilith Games,전략
3369,17,3369,10,(-),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
3370,17,3370,11,(-),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
3371,17,3371,12,(-),리니지2 레볼루션,Netmarble,롤플레잉
3372,17,3372,13,(+2),블레이드&소울 레볼루션,Netmarble,롤플레잉
3373,17,3373,14,(-1),메이플스토리M,NEXON Company,롤플레잉
3374,17,3374,15,(-1),세븐나이츠 for kakao,Netmarble,롤플레잉
3375,17,3375,16,(-),포켓몬고,"Niantic, Inc.",어드벤처
3376,17,3376,17,(+3),클래시 로얄,Supercell,전략
3377,17,3377,18,(-1),랑그릿사,ZlongGames,전략
3378,17,3378,19,(+3),라스트오리진,smart joy,롤플레잉
3379,17,3379,20,(-1),좀비고등학교,AWESOMEPIECE,아케이드
3380,16,3380,1,(-),리니지2M,NCSOFT Corporation,롤플레잉
3381,16,3381,2,(+1),엑소스 히어로즈,LINE Games,롤플레잉
3382,16,3382,3,(-1),V4,NEXON Company,롤플레잉
3383,16,3383,4,(-),리니지M,NCSOFT Corporation,롤플레잉
3384,16,3384,5,(-),브롤스타즈,Supercell,액션
3385,16,3385,6,(+1),검은사막 모바일,PEARL ABYSS,롤플레잉
3386,16,3386,7,(-1),달빛조각사,Kakao Games Corp.,롤플레잉
3387,16,3387,8,(-),ROBLOX,Roblox Corporation,어드벤처
3388,16,3388,9,(-),라이즈 오브 킹덤즈,Lilith Games,전략
3389,16,3389,10,(-),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
3390,16,3390,11,(-),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
3391,16,3391,12,(-),리니지2 레볼루션,Netmarble,롤플레잉
3392,16,3392,13,(NEW),게임빌프로야구 슈퍼스타즈,GAMEVIL,스포츠
3393,16,3393,14,(-1),블레이드&소울 레볼루션,Netmarble,롤플레잉
3394,16,3394,15,(-1),메이플스토리M,NEXON Company,롤플레잉
3395,16,3395,16,(-),포켓몬고,"Niantic, Inc.",어드벤처
3396,16,3396,17,(-),클래시 로얄,Supercell,전략
3397,16,3397,18,(+2),좀비고등학교,AWESOMEPIECE,아케이드
3398,16,3398,19,(-4),세븐나이츠 for kakao,Netmarble,롤플레잉
3399,16,3399,20,(-1),라스트오리진,smart joy,롤플레잉
3400,15,3400,1,(-),리니지2M,NCSOFT Corporation,롤플레잉
3401,15,3401,2,(+1),V4,NEXON Company,롤플레잉
3402,15,3402,3,(+2),브롤스타즈,Supercell,액션
3403,15,3403,4,(-),리니지M,NCSOFT Corporation,롤플레잉
3404,15,3404,5,(+1),검은사막 모바일,PEARL ABYSS,롤플레잉
3405,15,3405,6,(+1),달빛조각사,Kakao Games Corp.,롤플레잉
3406,15,3406,7,(-5),엑소스 히어로즈,LINE Games,롤플레잉
3407,15,3407,8,(-),ROBLOX,Roblox Corporation,어드벤처
3408,15,3408,9,(-),라이즈 오브 킹덤즈,Lilith Games,전략
3409,15,3409,10,(-),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
3410,15,3410,11,(-),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
3411,15,3411,12,(-),리니지2 레볼루션,Netmarble,롤플레잉
3412,15,3412,13,(+1),블레이드&소울 레볼루션,Netmarble,롤플레잉
3413,15,3413,14,(-1),게임빌프로야구 슈퍼스타즈,GAMEVIL,스포츠
3414,15,3414,15,(-),메이플스토리M,NEXON Company,롤플레잉
3415,15,3415,16,(-),포켓몬고,"Niantic, Inc.",어드벤처
3416,15,3416,17,(-),클래시 로얄,Supercell,전략
3417,15,3417,18,(-),좀비고등학교,AWESOMEPIECE,아케이드
3418,15,3418,19,(+8),랑그릿사,ZlongGames,전략
3419,15,3419,20,(+1),배틀그라운드 모바일,PUBG CORPORATION,액션
